Country Name,Year,"GNI per capita, Atlas method","Population, total",Rural population,Rural population %,Urban Population ,Urban population %,GDP (current US$),GNI (current US$),"Life expectancy at birth, total (years)",GDP per capita (current US$),Final consumption expenditure (% of GDP),Trade (% of GDP),"Labor force, total","Unemployment, total (% of total labor force)"
Brazil,2011,11080,197514541,30356010,15.369,167158531,84.631,2.62E+12,2.55E+12,73.921,13245.38737,78.9431087,23.93440518,93794015,6.920000076
Brazil,2012,12360,199287292,30046545,15.077,169240747,84.923,2.47E+12,2.40E+12,74.209,12370.22325,79.94197009,25.11427361,94871140,7.190000057
Brazil,2013,12810,201035904,29735221,14.791,171300683,85.209,2.47E+12,2.44E+12,74.483,12300.38671,80.60772908,25.78595733,96095664,6.980000019
Brazil,2014,12100,202763744,29416964,14.508,173346780,85.492,2.46E+12,2.41E+12,74.745,12112.83496,82.11310941,24.68540582,97184947,6.659999847
Brazil,2015,10160,204471759,29096331,14.23,175375428,85.77,1.80E+12,1.76E+12,74.994,8813.989806,83.74161723,26.95362594,98729764,8.430000305
Brazil,2016,8930,206163056,28776239,13.958,177386817,86.042,1.80E+12,1.75E+12,75.23,8710.06329,84.63077703,24.53368208,99749646,11.60000038
Brazil,2017,8670,207833825,28454529,13.691,179379296,86.309,2.06E+12,2.02E+12,75.456,9928.675897,84.65621104,24.31973437,101501800,12.81999969
Brazil,2018,9140,209469320,28133824,13.431,181335496,86.569,1.92E+12,1.86E+12,75.672,9151.381732,84.51116275,28.87620337,102576163,12.32999992
Brazil,2019,10656,211049519,27807885,13.176,183241634,86.824,1.87E+12,1.82E+12,75.881,8876.059836,85.12762867,28.89025787,104376954,11.93000031
Brazil,2020,10656,212559409,27477555,12.927,185081854,87.073,1.45E+12,1.41E+12,76.084,6814.875632,83.36969318,32.8904521,96539743,13.68999958
Canada,2011,47190,34339328,6491507,18.904,27847821,81.096,1.79E+12,1.76E+12,81.44878049,52223.69611,77.04861665,62.49873877,19147395,7.510000229
Canada,2012,51080,34714222,6548144,18.863,28166078,81.137,1.83E+12,1.80E+12,81.64878049,52669.08996,77.07816036,62.59554894,19322866,7.289999962
Canada,2013,52810,35082954,6603314,18.822,28479640,81.178,1.85E+12,1.82E+12,81.74878049,52635.17496,76.66519998,62.2310749,19546552,7.070000172
Canada,2014,52190,35437435,6655859,18.782,28781576,81.218,1.81E+12,1.78E+12,81.8,50955.99832,76.06287442,64.37866216,19629145,6.909999847
Canada,2015,47590,35702908,6691082,18.741,29011826,81.259,1.56E+12,1.53E+12,81.9,43596.13554,78.68679419,66.16490207,19747709,6.909999847
Canada,2016,43880,36109487,6752474,18.7,29357013,81.3,1.53E+12,1.51E+12,81.9,42315.60371,79.53235025,65.36368452,19955331,7
Canada,2017,42960,36545236,6815687,18.65,29729549,81.35,1.65E+12,1.63E+12,81.9,45129.4293,78.67956374,65.10106085,20218237,6.340000153
Canada,2018,44940,37065084,6890028,18.589,30175056,81.411,1.73E+12,1.70E+12,82.04878049,46548.63841,78.50762545,66.44771684,20396646,5.829999924
Canada,2019,47830,37601230,6962996,18.518,30638234,81.482,1.74E+12,1.72E+12,82.04878049,46328.67184,78.58074308,65.41236208,20792599,5.659999847
Canada,2020,47830,38037204,7013300,18.438,31023904,81.562,1.65E+12,1.63E+12,81.74878049,43258.26387,79.80694809,60.78253044,20509919,9.460000038
China,2011,5050,1345035000,665644371,49.489,679390629,50.511,2437982840,2447711151,47.95,5614.352135,50.15929328,50.74090459,778977720,4.550000191
China,2012,5930,1354190000,653193546,48.235,700996454,51.765,2510126699,2521348254,48.638,6300.615118,51.1426133,48.26752237,782865417,4.570000172
China,2013,6770,1363240000,640545579,46.987,722694421,53.013,1691544192,1706709152,49.371,7020.338485,51.71714701,46.74437558,786673270,4.590000153
China,2014,7500,1371860000,627502483,45.741,744357517,54.259,1894813505,1914517017,50.129,7636.116601,52.52494301,44.90521595,791323527,4.610000134
China,2015,7910,1379860000,614037700,44.5,765822300,55.5,1695825708,1716880210,50.881,8016.431435,53.99089043,39.46416934,795251107,4.630000114
China,2016,8210,1387790000,600413466,43.264,787376534,56.736,1825018191,1847781813,51.593,8094.363367,55.03873751,36.89441502,797667977,4.53000021
China,2017,8650,1396215000,586968786,42.04,809246214,57.96,2072349974,2177935589,52.24,8816.986905,54.86760843,37.63241324,799175185,4.440000057
China,2018,9460,1402760000,572999405,40.848,829760595,59.152,2220978978,2386745258,52.805,9905.342004,55.05768886,37.5657841,799480075,4.28000021
China,2019,7435,1407745000,558762145,39.692,848982855,60.308,2221301401,2386023522,53.283,10143.8382,56.01857304,35.89009603,800020955,4.519999981
China,2020,7435,1411100000,544289492,38.572,866810508,61.428,2326720921,2456788006,53.679,10408.66976,55.33044189,34.58924952,792497551,5
